P,ErrMean,ErrMeanAbs,ErrStDev,ErrStDevDevSqrtN
0.83932,5.142668532421179e-06,5.142668532421179e-06,0.0002679981608880757,2.6799816088807567e-06
0.8443099999999999,1.0986273593562635e-06,1.0986273593562635e-06,0.00026964862629730464,2.6964862629730463e-06
0.8492999999999999,4.372448484123881e-07,4.372448484123881e-07,0.0002616584248668247,2.6165842486682473e-06
0.85429,1.0434556342634727e-05,1.0434556342634727e-05,0.0002614587258732984,2.614587258732984e-06
0.8592799999999999,-2.5936296682858127e-06,2.5936296682858127e-06,0.00027165748628454997,2.7165748628455e-06
0.86427,2.03551846668103e-06,2.03551846668103e-06,0.0002657620466394824,2.6576204663948238e-06
0.8692599999999999,-1.9087247748042602e-06,1.9087247748042602e-06,0.0002583897525171628,2.583897525171628e-06
0.87425,-2.9995787864161794e-06,2.9995787864161794e-06,0.0002603743910632073,2.603743910632073e-06
0.8792399999999999,-2.063213937654551e-06,2.063213937654551e-06,0.00026139779371340145,2.6139779371340144e-06
0.88423,-1.0379966849568545e-06,1.0379966849568545e-06,0.0002660943401979337,2.660943401979337e-06
0.8892199999999999,-2.6993861206245695e-06,2.6993861206245695e-06,0.000269851872531291,2.69851872531291e-06
0.89421,-2.4989315838560676e-06,2.4989315838560676e-06,0.00026340180866943726,2.6340180866943725e-06
0.8991999999999999,-3.6045574799130285e-06,3.6045574799130285e-06,0.0002675526470509596,2.675526470509596e-06
0.9041899999999999,-3.6452969858418504e-06,3.6452969858418504e-06,0.0002671435821834717,2.671435821834717e-06
0.90918,1.0295490029603304e-05,1.0295490029603304e-05,0.00026336158417126934,2.6336158417126934e-06
0.9141699999999999,8.815111520986708e-06,8.815111520986708e-06,0.000259598580677773,2.59598580677773e-06
0.91916,-6.702562219417674e-07,6.702562219417674e-07,0.0002663322130380126,2.6633221303801264e-06
0.9241499999999999,2.237368968653297e-06,2.237368968653297e-06,0.00026039967250405974,2.6039967250405973e-06
0.92914,7.524219769456597e-06,7.524219769456597e-06,0.00024613569887591404,2.4613569887591402e-06
0.9341299999999999,3.3580845764055864e-05,3.3580845764055864e-05,0.00022261633957785374,2.2261633957785375e-06
0.93912,1.664399462569499e-06,1.664399462569499e-06,0.00025006671629105193,2.5006671629105195e-06
0.9441099999999999,2.1055029326681684e-06,2.1055029326681684e-06,0.0002476769736079752,2.4767697360797525e-06
0.9490999999999999,-2.222291897806761e-06,2.222291897806761e-06,0.00025579836903970435,2.5579836903970435e-06
0.9540899999999999,5.09515329805027e-06,5.09515329805027e-06,0.0002568894911790843,2.568894911790843e-06
0.9590799999999999,2.4064274370089843e-06,2.4064274370089843e-06,0.0002581553363065175,2.581553363065175e-06
0.96407,-3.7546976843184534e-06,3.7546976843184534e-06,0.0002656927018490598,2.656927018490598e-06
0.9690599999999999,1.4590085697585576e-07,1.4590085697585576e-07,0.0002485167678249286,2.485167678249286e-06
0.97405,1.7292073797804452e-05,1.7292073797804452e-05,0.0002379337501159989,2.379337501159989e-06
0.9790399999999999,-2.3805462511968687e-06,2.3805462511968687e-06,0.00024698156150964375,2.4698156150964377e-06
0.98403,3.167319580778094e-07,3.167319580778094e-07,0.0002501812244950685,2.501812244950685e-06
0.9890199999999999,2.5797698773304735e-06,2.5797698773304735e-06,0.00024397452314837062,2.439745231483706e-06
0.99401,1.7904301950557254e-06,1.7904301950557254e-06,0.00022655795036498507,2.2655795036498507e-06
0.999,6.957042072926776e-05,6.957042072926776e-05,0.00022615690325440802,2.26156903254408e-06
